date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/6/30,89.9081,91.6804,89.6563,91.0994,90.9732,19104819,1.14,1.0266,1794362450
2020/7/1,91.9033,92.6927,90.102,90.3246,91.1124,18813874,-0.851,-0.774819,1769600680
2020/7/2,92.6521,92.8673,89.905,90.618,90.9671,27823420,0.325,0.293348,2588154480
2020/7/6,92.349,93.102,91.4199,92.9064,92.3141,18591330,2.525,2.2884,1755289380
2020/7/7,91.7524,92.0262,89.9725,90.2855,90.5091,25716604,-2.821,-2.6209,2381650190
2020/7/8,90.2561,91.283,89.7769,91.2439,90.5988,18747096,1.062,0.958403,1736452790
2020/7/9,91.459,92.0536,88.7759,89.2684,89.6251,25537711,-2.165,-1.9755,2340396620
2020/7/10,89.9725,94.7058,89.846,94.1484,92.8419,28936074,5.467,4.88,2746087320
2020/7/13,96.5545,97.0725,94.1044,95.498,95.6,31972365,1.433,1.3496,3124939290
2020/7/14,96.2021,97.7473,94.5103,96.0457,96.0792,42649916,0.573,0.547659,4191119760
2020/7/15,98.6666,99.0578,96.476,97.5322,97.4009,22488759,1.548,1.4865,2239529270
2020/7/16,96.6031,98.9893,96.3782,97.806,97.7707,16873528,0.281,0.27383,1686509090
2020/7/17,97.7962,97.8744,95.9772,95.9968,96.7377,16137582,-1.85,-1.8092,1596190990
2020/7/20,95.2828,96.2217,95.1166,95.1557,95.6172,14445109,-0.876,-0.841048,1412387910
2020/7/21,95.5567,97.8451,95.4882,97.2192,97.1789,17795263,2.169,2.0635,1767685830
2020/7/22,97.4539,97.9233,95.3806,96.5151,96.3873,14263503,-0.724,-0.704132,1405607170
2020/7/23,96.3293,97.1605,95.8109,96.7987,96.4303,12855828,0.294,0.28361,1267684740
2020/7/24,97.405,97.6006,95.7816,96.1141,96.5475,12690775,-0.707,-0.684573,1252768180
2020/7/27,95.3611,95.4784,94.0506,94.7645,94.7105,11948568,-1.404,-1.3496,1157140580
2020/7/28,94.3733,95.7282,94.3733,95.1753,95.157,11753622,0.433,0.410745,1151988010
2020/7/29,94.9308,97.5126,94.8623,97.4833,96.5129,12737319,2.425,2.308,1256807410
2020/7/30,95.3904,95.586,93.9333,94.8819,94.6381,14809273,-2.669,-2.6014,1433146830
2020/7/31,94.3538,94.7939,93.1509,94.5103,93.8708,14534485,-0.392,-0.371626,1395511330
2020/8/3,94.8819,95.4198,93.7377,93.9822,94.5436,12961678,-0.559,-0.528099,1253215530
2020/8/4,93.7963,93.8355,92.9357,93.4443,93.2503,13351515,-0.572,-0.537879,1273029310
2020/8/5,93.7572,96.2999,93.6105,95.0677,95.2165,15336178,1.737,1.6234,1492954420
2020/8/6,95.4295,95.9381,94.4125,95.097,95.0508,10467580,0.031,0.029339,1017281600
2020/8/7,94.7939,97.2974,94.432,97.1899,96.1589,14734203,2.201,2.0928,1448538050
2020/8/10,97.9038,99.7912,97.8297,98.4221,98.6542,14975548,1.268,1.2322,1510536780
2020/8/11,101.5711,103.8205,101.2289,101.532,102.7519,31489590,3.16,3.1099,3308812610
2020/8/12,103.8205,104.0845,99.4685,100.6714,101.2229,19240169,-0.848,-0.860607,1991451350
2020/8/13,99.7521,101.0822,99.3952,100.114,100.033,13595868,-0.554,-0.557439,1390556430
2020/8/14,99.2631,101.0333,99.1849,100.1531,100.2423,12117738,0.039,0.039119,1242136600
2020/8/17,99.2631,99.7521,97.3366,97.5126,98.15,14975858,-2.636,-2.6405,1502644810
2020/8/18,97.7082,97.7082,95.9576,96.1532,96.4539,13239486,-1.394,-1.3594,1305788300
2020/8/19,96.74,98.3732,96.1728,96.3782,97.0521,13523414,0.234,0.224931,1341947140
2020/8/20,95.1166,95.8696,94.6667,95.2242,95.2671,13618920,-1.197,-1.154,1326556090
2020/8/21,95.1264,96.3928,94.8036,95.1753,95.2806,12218942,-0.051,-0.048897,1190364530
2020/8/24,96.2804,98.0016,95.2731,97.8549,97.1207,17885421,2.815,2.6796,1775778330
2020/8/25,99.0382,99.7326,97.6006,98.2852,98.3228,13641447,0.44,0.430304,1371421210
2020/8/26,97.7375,98.0603,96.8671,96.9063,97.371,12047012,-1.403,-1.3789,1199534720
2020/8/27,96.8182,100.3878,96.8182,100.0944,99.6449,22157353,3.29,3.1882,2257310050
2020/8/28,100.867,100.9746,99.5663,100.5052,100.3115,13753449,0.41,0.410744,1410629860
